0aa5 fb1b
994d 64b2
7fff 7fff
7fff bc70
6c4f f991
80f4 a49a
7fff 7fff
7fff b8a6
8000 8000
8000 7fff
309d 41f3
df32 92ed
e1ea 7fff
5c7a 0b2f
fef8 68a2
4272 fa0e
048e 3716
977c 03d6
60c6 32ab
aad1 99ea
f596 a75e
4067 6c16
7c08 e10b
0acd 4120
7fff fad3
0f57 0d6f
73b3 7fff
7fff 7fff
e2bf d351
729c 341e
52b0 ca51
8000 8000
31a8 0d19
efd3 aa22
efa1 18ea
ea09 49f0
95dc 5f10
dd35 4637
40c5 4939
7fff 7fff
f2a8 d111
9438 8000
cffb 413d
f21f 3b80
f935 11bb
8000 0598
8000 64a5
8000 1928
26d8 fe51
7fff f471
7fff 1f09
7fff 3abf
a99a f00f
6162 4323
7949 455e
8000 101b
b76a 8000
7fff c7b3
8a79 5452
7fff ec7b
41c6 8000
12bf 8000
1f2b a708
65d8 5fdf
b492 7fff
7fff 5f76
7fff cda0
d647 8000
c158 a003
ac90 dea7
7fff 7577
ee93 bddf
ca2b 8000
9520 e1d7
937c 2c7d
8000 e78d
c1db 8000
8000 f83e
7fff d7b9
8c54 924e
e024 be58
588f c88d
8000 8000
ec7c 8000
fc01 8000
8000 d622
5422 7fff
7fff 8000
95e6 fc1f
7fff 0d29
7fff c3a6
c649 5480
8f99 7fff
8000 5aba
b8f7 2abe
f5d7 d371
fb82 a846
0356 b8e3
afbe 5a28
789e 1a5d
a425 d21c
8000 bb10
6c20 6409
413d 2c46
49f0 4810
363d 670f
fc25 96a4
0924 c2f9
590f f512
7fff c07f
c8bf 3aca
7fff 7fff
5db2 7fff
394d b91d
f6cf 7fff
9151 8000
64b7 8000
507e 7fff
3728 71c3
ad5f 43fb
9e34 7fff
fbb8 e5c2
f16e 9764
dcfb 8000
8000 7fff
9fde 8000
7fff 629d
3dbe 7fff
7fff c322
9c33 bb44
f721 bf83
2041 8000
3609 78f1
62a8 daaf
073a fdb7
76ee 7fff
2690 8000
7fff b4d3
1559 70e3
8000 5f8e
f7fb 65c3
148b 8000
f7cb 8000
4651 7fff
2309 c5ee
4342 c191
bb2d 46d1
7fff e523
093e 00d3
1ab9 5524
7381 810d
42b2 146b
7fff 9e20
8000 fa20
1991 ead1
5c35 8000
8000 58f5
4cba 7fff
0113 bd3c
c74b ddee
f357 7f90
7fff 0031
7fff af57
7fff 69b8
5254 8000
a313 9800
7fff 72d7
7fff 7563
3021 060e
aacb f845
db50 41bb
d011 abed
7fff 63f2
ebba 7fff
4537 8d84
f01d 9992
f6ab 7fff
615c 4966
33a0 7fff
2737 0ac0
d9d6 376c
2baf 7fff
184f 1ad5
3e38 dc88
be4a a77f
7fff 11b6
4da4 1526
2381 6e7e
7fff 068e
f92c 7fff
885e 8000
7fff 2fdc
7fff 6dcd
dd8c 3049
18d9 8000
8000 bb7c
b408 4379
758a 2b83
890c 99ca
bacc b48b
b561 54b2
04f1 6e8f
ca93 6231
a790 8000
7fff 3b76
1f96 387b
8000 8000
1edc 4618
ded7 0ca0
8000 db5c
8000 7fff
7fff 8000
5241 7fff
8000 b66c
2bb7 0db3
938f 95ab
a819 7fff
7fff 7fff
7fff 6fb0
d183 b64c
952f 14de
6ba7 fd66
2f1d 7fff
8000 a859
7fff 7fff
7fff f5d3
d0ca 8000
f6dc 7733
b177 4ddd
d5d7 e8b9
f513 a987
67f6 b2e6
8000 1c64
7fff 7f67
ef4c 7fff
8000 ff71
1f39 18ad
177a 8000
94f4 1392
7fff e43a
8c89 7fff
a5f1 7fff
110a cca0
7fff bf5e
7fff 0ff5
7fff 7ad1
235a 7fff
0ce6 7fff
d306 de0c
2dd7 0a91
8000 7fff
7fff 7fff
9b3e d6b9
3a69 d585
4b9e 3a31
8000 cadc
055d 8000
5050 8000
d0cd 0d78
8000 2238
8be9 a111
7026 ef56
3f6b 7fff
5e7f 0aa9
f56f 7940
f9be a640
b418 06ea
6ad8 8000
3882 37b3
c6f3 f45e
d914 9fd0
35a6 8000
24e2 a606
7fff 6804
313f 5c6b
3acd 7db5
152a a8dc
2336 1cfa
3d30 1461
40ec e4d1
83af 555e
c166 f0a3
8598 3c47
73c8 fec8
489a 5526
8b16 7fff
4f1b 924e
e91d 0669
d692 8ba0
b324 5f6b
fa93 bd47
8000 75ef
8000 8000
8000 aaa1
ccd4 8f88
4ffd c5e6
7fff 995a
6492 8000
8000 1fc5
8000 7f56
7fff ef2c
8000 9208
7fff c143
5a89 5595
ec5d 7fff
f29e 33b5
3b82 412f
8000 7fff
7fff 7fff
c377 0406
3a24 0ba9
e689 ac45
bebb b4cb
7fff 8ad9
2546 f20f
7fff 52ed
ac5e 8000
7fff 99e1
03ac 473f
5700 8fd1
1899 0539
331d 8000
7fff 26f4
0b12 cfdf
1de2 7b2f
998c c966
422b 2774
be16 37c8
4519 c2f7
1aca 8000
d2f3 4e35
0aac 236f
d1b3 3660
8000 03e5
7fff 0407
48b6 d173
3f93 8000
b1aa 15f1
682c cbcc
7fff 0980
ce1c 8000
0bf8 7fff
2b69 5795
0133 575d
8000 d27c
a5f8 8000
7fff dade
eb2a 8f06
0f4f 7fff
2a5d 6080
7fff 8000
2d1e 4756
3ba6 5ca2
b2ab f036
7fff 089f
0f17 4ba7
d921 2cc7
127e 050d
3cb4 d286
fc8c 8b09
c807 7fff
060d b657
5cc3 14e8
123e 01dc
8000 7fff
7fff 538a
dc76 c3d8
1a72 e899
3a33 027a
5f8c 7fff
a6e0 289b
dbc3 cd85
fb1a 9945
7fff ed5d
089a 562b
1efd afb3
7fff 25af
1a14 30f7
ffbb dff6
ccd2 e752
2c55 7fff
e623 fa7f
2882 0cee
5bcf 5dd5
8000 12fd
b81f 07d6
e5d2 1e45
3452 8000
acba f999
317f 8000
8000 b457
8000 ce02
5aaa 2293
db55 b868
4b78 5cb6
35c9 ee26
be3d ca3c
83f2 108b
fd82 1ff3
7fff 7fff
4e09 a9de
d004 3c19
7fff 7fff
4472 5c66
3678 6b33
14f7 8c9b
40ef 118b
ca77 f009
ac6c 0548
169d 1c23
f637 c3ea
8000 fc4e
133c 7fff
7fff b6a6
7fff f8d2
7fff f65b
f4cb 7fff
b978 8000
8000 0e45
5009 cbb6
3886 294e
7fff 8000
7fff a4cb
f176 6d0c
0ecc 0314
97a3 de49
8000 8000
3557 b795
8000 7fff
7d04 c6b4
cb3f 3047
d2d7 e8f3
e796 85c2
f412 8000
8000 d55b
b65b 7fff
7fff 030a
7681 d24d
6da8 4f7f
9a11 2ea5
8000 34fd
cde1 3875
8000 8000
7fff 8000
1aa4 d1a9
8000 1145
aa12 5432
457f b3a9
ef51 7fff
c079 a74f
f76c 3166
fa47 8000
8000 76bb
0567 5509
7fff f593
96df 06b3
e0be 0003
cf2d d867
7fff 4d8c
141c 19e8
6d7d 7fff
e8e6 ad6c
c63d 6f86
8000 fb94
8000 e298
9843 d116
3693 afa1
80c4 d5cb
b708 4f7d
cb0f 8a9a
ad6d 0868
44ae 194a
f6f9 136d
f0fb dbef
95ce 8000
6ac5 efe1
4528 3b60
5755 29a6
7fff 83ba
c956 f178
7fff faeb
e257 e076
f8d0 e94f
af76 7fff
047b 25d0
7fff 7fff
fcb8 8000
b66a 4637
ed88 9733
7fff 8000
ba0d 30d0
8000 bd64
b3cc ebdf
859f f40b
4f52 19fe
1c12 7fff
7fff 9897
ee6f 7fff
8000 bbe9
b380 7fff
40b9 3565
8000 8993
1fd7 8000
2811 8000
d514 c2d1
7fff 8000
7fff d7ce
6193 ff49
a4ed 9c47
b498 8000
2581 16fe
7fff 19f5
803c 459b
8000 7fff
c075 0d16
