ba99 dc3a
f03d 34c0
1ed7 8435
7e0b 2761
a73c ce42
3194 c83c
ebc7 c979
db6f 3d76
9fbc 4556
4667 9ef1
2613 bc9b
4b81 a705
4bf8 4826
5267 d977
035c 6e92
a382 ef91
6a07 93be
2451 88dd
17f3 a25c
b03e bf2f
709e e1d2
876b 5c65
ab4a 62da
99db 4b06
a830 e041
e9f7 ce42
9cdc 3578
7547 e8d4
7d9e c7ad
c24b 80f9
363f 65cc
708a a046
f98a 94db
2923 117d
3737 d960
d0ac a7d5
bb32 5817
043a 667c
baf1 9e15
b182 6321
7e56 9b79
3163 1b32
d0f0 a6a9
0405 4e8e
6e56 c650
cf87 a495
2c1c 4011
44db 25a6
d4ec 6dfd
3723 0c23
475d 07cf
b3f8 028f
5fe6 b832
690a 1ad7
5646 1a8c
7df7 d49c
b604 af5a
efcd 86f4
5603 f3d2
d582 c459
ba22 a508
68ee e63d
e519 adc8
0be3 ba04
1bc5 4305
c627 6322
4ad4 7a1e
65b1 aab9
3250 cebb
c590 8896
e946 4387
5d31 9f4a
f2e0 4cfe
263e 48e3
40d0 fbc0
0d3b faf2
a0c8 7629
e12f 85e0
23f1 ed11
3fe4 3fb6
3016 060b
a2d8 7aea
8029 0888
25a3 b278
d743 eb32
3b0e c089
2eb9 983f
5fd3 2199
e53d 8611
6a7b 260d
81d0 77b6
20fe 2298
eddf 022d
a878 11cf
ef3e e85c
5185 1f54
ee66 f45c
9a3d 6e8f
fce4 bfe0
2107 d427
ab12 5c14
94af d9ca
f453 f482
fb63 d98f
7a92 65de
ff9c fc62
dd94 209a
1efa cb72
22c6 c771
dd41 1204
afcd 2ec6
3157 9e33
2322 cb94
0cc1 2006
8b74 2dc8
f42c 3685
89dc 88db
104f 7e2e
7d5d 0bb2
57bd f7ef
718f 5759
f451 4f23
77f2 134a
1a95 9ab8
dabb f7d6
acbc 8a88
269b de13
28ba 49bd
a9a7 357b
69c2 351a
6343 5dee
6b9f ed1e
e6c9 7bee
6b4c 6426
87a0 c309
5c14 f92f
1a62 5065
4851 9254
63af 62e6
2d0c 3e6a
5abb d9c7
c8f1 8156
b7da f1ab
cb13 6180
2726 34d5
969a 8a69
92c3 0239
7787 798c
7e27 e2d3
ddb1 05c7
a5dc 39c5
fef5 c03d
8a2a 4746
5291 edd8
aa2c 7f9c
2c42 04e7
5963 f533
863d 113d
e6de 514f
72bd 0e04
8624 0957
986c 18e6
0b90 0ff3
9272 89b7
f2c5 7023
8f7d 98a1
a9e8 8e72
58de 3411
d5b8 ab6e
21e9 7fe4
2b0a 4e2b
84ca 846d
435d 0b07
95aa 2a3b
5c56 0866
383e e279
11bd d0aa
fb5f 1d4c
e09d 8dd1
a703 d362
fdf3 3680
6c02 a7db
c4f2 c4e0
dbec 9aaa
704e fdd5
1a8d 9b58
4bff 9f57
1fc5 8f5c
aa5e b56e
b997 06b3
bdd4 f1d5
e92c cf91
c27f e48b
ecdd a31b
725c 93df
767d 704f
ca5f e27f
1829 8f50
a75e f415
29fa 17ac
f1e9 4487
b303 3de8
e3de d2c8
cd44 8e3b
8836 86db
94ee 460a
78af 7e1a
159a 3b2e
62a5 0277
de49 d501
9656 54c5
454f 60b4
3744 5d78
f004 dea2
518d 19fe
f64d 4376
5e84 a950
815e 4262
7c18 4ea2
d09d 044d
d57c 658b
4a57 4e2b
e3a5 5ff1
8959 464a
6267 67a1
1b4a f8bd
bc66 6099
5971 f3aa
be11 4975
d24b 0f9e
6372 c898
5313 c1f6
71e8 d471
0458 ee00
2312 d4f4
f24d f88e
3a7f 3ca3
46b9 1e23
9c94 d012
646d fefb
37b3 7fb7
f7b7 f419
e050 5128
e7c2 9e61
9a9c ba0d
adfe fe0e
82a5 0111
c004 f48d
d582 c45c
e28d f894
9950 d4d9
f122 d3ce
117c 37db
f1f1 ae10
07ec 565e
ad0a 3f9f
d614 a4c1
33b7 b664
f5e9 1b79
54c4 9085
d586 02c2
8e93 582b
03d3 4e97
4cb8 d955
12f2 2f45
d1e8 ac42
041e c30a
8010 159a
fae4 7201
c3a9 02d0
c85e 70b3
426f 9e72
1574 7626
54d6 0b5d
919f a99a
9be1 6725
ac5c 2a74
bf50 b02f
790a 0c08
8983 8bfc
3b4c 5b6b
383e 3f6a
1e75 b84d
5503 1959
2a4e 18ac
1c29 f2ac
895f 5e97
911e 9ed3
d4bd e5f3
aa30 665b
8f8d 4611
cd80 3be8
7084 8ccf
ec17 e98e
98d7 759a
758a d423
d105 adc8
138c ef79
6615 688f
08d2 9062
813b 24fa
830e 0a9a
8391 142b
a96d 584e
fa1e 539d
bea9 89ab
99ad 8c28
c593 0a31
18f7 b1a9
f3bf b1ce
2743 6949
85f0 f847
1711 997c
e7c0 7d25
020b f092
0d87 8346
158c 9095
8de0 991d
a4c0 374d
f16a 9ede
8aea b013
2888 2497
3c3b ee1b
2ec8 5532
9fc4 2287
06ff c706
8bd0 8cef
bf4d a2e0
266b a70d
2005 2876
979f 2d8c
abbc ad2a
be21 399c
4647 62e0
70e9 37b1
01be fbd3
e7c3 2a46
2069 23fe
1860 4f31
792f b824
71b7 802e
7f2a fd87
0d1d 3e77
a067 3388
e584 c06c
5bfe 7d22
edf8 07ba
2a4c ac18
4156 7093
0ef8 b23f
a843 10b6
ae12 9006
3afb ce7b
b404 535b
1dab 2d33
0b7f 8f62
ad61 8aa8
8ce9 ba7e
c91f 2d4f
ee06 aea2
edbb 4a04
2bc4 dbb2
51be 5610
87ca 9314
c6a3 96c2
4553 6ee6
a778 f364
feec e273
c1df b2ef
35ce df8a
e022 414c
6eec 8d82
cbf4 fbd4
4800 9513
2923 3605
43b5 16de
8009 6f79
f290 d1c6
c589 7a5a
64da 8c2b
111c aa2c
fb11 b893
9d90 f9fc
9b06 5f6f
aceb d0d3
3ef8 8d0d
121f ade4
1a8f de13
a9b8 628e
7326 d2db
9893 b6da
e9b8 189c
2653 dc48
ea62 ebdb
56a1 4f3b
7806 67bd
f967 7317
2050 96f7
6d13 bb55
f666 19fe
8c28 355e
a70a 9e47
e341 c199
7c5a 8cf9
2427 ef80
5fd3 bcba
a65a 498b
d555 ccac
25d3 bfb7
b887 7c74
0ef2 308d
e430 0859
a3a4 0480
9f50 10b6
bfd5 95b5
2ab4 4bfd
cb13 d1be
ea44 ae54
9356 669e
3b4c b77d
561d 9b1f
7436 fc77
e4aa 498b
c923 0a7d
0942 81aa
86f0 1833
b237 6b20
208c 55da
6fa0 bfdb
6690 2f74
5590 9144
7b71 20a3
6301 65b4
cef6 f657
cc52 0a42
add4 226f
a561 220a
1ee5 8a0b
6b95 e808
9488 74d6
69b1 1b78
8d09 1be8
8698 ad95
71c2 f637
6d70 d852
25ab c300
6995 a11c
e3a2 cc96
06d0 b298
c2ed d321
bcda 70c1
f590 623b
92ca 1475
ec46 fe5f
fc7c 80ce
7335 662d
9c45 003e
8215 22dd
add2 f3d6
1914 1b42
cc28 3ebf
de41 35bd
dfda c1e3
0253 e6aa
747b c540
b9cb 3155
3600 af5a
9390 c8ca
c3cf 7fd6
c729 c04b
00a4 3a5d
2678 9ce9
3a9b a88c
bfc5 e86d
9c62 d8d9
03ae 688a
1797 e1ef
9e46 f771
a3d2 a099
de1b 184d
65d8 97e5
49a2 9bd8
473f dd32
64a2 0b0e
5d08 2bcb
cb58 5dac
6628 f1d0
fa94 a0c2
9a5c ba59
892f 36be
9332 8cdd
9f47 aac9
6ecc 3d8d
a23a 129e
de26 8054
2aeb 43fe
1839 748d
dfd6 5f78
51bf 4478
6a86 aec7
7042 35de
0c72 d66a
27ad 0706
772c c209
c15f 005a
f8c6 5491
8d37 980d
ff59 fc02
d59a a193
0ea0 b3c0
21e7 398a
f7bd 3a20
ae17 d793
9998 ffd5
1c0a 041d
ae9c 8c4c
39fb bb0e
62b6 61a8
c214 d9e1
23b0 8373
da3b 1c76
d803 6772
b483 d75c
6374 8a1d
78ef 7213
3ddd 9ad5
ab9d 359a
d4f5 59b4
0d2c 6e8c
5989 2936
72a9 0824
b582 aca4
c332 1838
0e4b 8545
f219 31fb
08b8 cc54
4e71 e0bb
33c5 02f4
b817 9739
8d11 3105
094c caee
cbda b4e9
0087 a0cf
0e9c 0db3
0f5b 6825
36e9 8204
7049 ec6b
2ea7 337a
04a3 3cf2
b8bf f6bb
6eed c177
c30f bd5e
a231 f6d4
c052 5a48
8e0c 4d63
8b4d 9758
1851 5727
4c40 18d8
f7f5 5adc
268b 0750
c301 5d74
8953 3349
49df b7fa
66c3 4e81
f4ec 1f82
453c 63d9
e0f9 084b
2137 832a
ff1e e189
dd71 8d2a
2eec 68be
2482 473d
bfe4 70c2
6014 b7d9
cb9e 869f
bf29 8e9e
e412 487c
c1e7 2df1
0076 28aa
7c72 f562
482c c1ae
593b 2925
c9f8 7a72
ac4e c916
5bfb 89bf
5640 8ae7
f27d 7ac2
d223 b261
eb83 3237
6a3a b721
b8d6 2962
45bf 9ce8
71de 07a6
cad8 7253
3050 474a
67b5 787c
08f7 c0ef
a1a0 d2ef
3b61 4dee
9c05 975b
d7ad f245
2242 ca2a
6d07 f465
7c8a 588a
269c e6c4
0faa df71
1026 5569
7c59 8203
5d0e 4731
f456 8d5e
8e7a 5c0b
05d9 9771
1cfa a779
6a60 585a
f567 0665
efb5 cd14
f8aa 11f7
973e 65b1
065b 13c8
be3a 2cf7
fa8b cde4
0c68 0ab1
234d 88c0
8cb4 805b
cff1 810a
0db8 5e6b
dd14 1391
f5dc fa0e
bb0a 603c
5268 b071
66a1 421d
7d85 5f4b
5413 14c3
c4fb 5a6e
288a 8335
8765 2315
5119 93cc
2dc6 7466
1c8c ba79
f4c0 ec7d
3b83 0278
4ae7 1897
1609 40c3
12a4 d113
a0fe 650c
8184 079f
a728 ff09
66e9 fb3b
13cc 2be4
55a9 3c56
af19 dd0e
5f6b 0032
70da 8d30
7498 8d66
